date,event_type
2015-01-16,CPI
2015-02-26,CPI
2015-03-24,CPI
2015-04-17,CPI
2015-05-22,CPI
2015-06-18,CPI
2015-07-17,CPI
2015-08-19,CPI
2015-09-16,CPI
2015-10-15,CPI
2015-11-17,CPI
2015-12-15,CPI
2016-01-20,CPI
2016-02-19,CPI
2016-03-16,CPI
2016-04-14,CPI
2016-05-17,CPI
2016-06-16,CPI
2016-07-15,CPI
2016-08-16,CPI
2016-09-16,CPI
2016-10-18,CPI
2016-11-17,CPI
2016-12-15,CPI
2017-01-18,CPI
2017-02-15,CPI
2017-03-15,CPI
2017-04-14,CPI
2017-05-12,CPI
2017-06-14,CPI
2017-07-14,CPI
2017-08-11,CPI
2017-09-14,CPI
2017-10-13,CPI
2017-11-15,CPI
2017-12-13,CPI
2018-01-12,CPI
2018-02-14,CPI
2018-03-13,CPI
2018-04-11,CPI
2018-05-10,CPI
2018-06-12,CPI
2018-07-12,CPI
2018-08-10,CPI
2018-09-13,CPI
2018-10-11,CPI
2018-11-14,CPI
2018-12-12,CPI
2019-01-11,CPI
2019-02-13,CPI
2019-03-12,CPI
2019-04-10,CPI
2019-05-10,CPI
2019-06-12,CPI
2019-07-11,CPI
2019-08-13,CPI
2019-09-12,CPI
2019-10-10,CPI
2019-11-13,CPI
2019-12-11,CPI
2020-01-14,CPI
2020-02-13,CPI
2020-03-11,CPI
2020-04-10,CPI
2020-05-12,CPI
2020-06-10,CPI
2020-07-14,CPI
2020-08-12,CPI
2020-09-11,CPI
2020-10-13,CPI
2020-11-12,CPI
2020-12-10,CPI
2021-01-13,CPI
2021-02-10,CPI
2021-03-10,CPI
2021-04-13,CPI
2021-05-12,CPI
2021-06-10,CPI
2021-07-13,CPI
2021-08-11,CPI
2021-09-14,CPI
2021-10-13,CPI
2021-11-10,CPI
2021-12-10,CPI
2022-01-12,CPI
2022-02-10,CPI
2022-03-10,CPI
2022-04-12,CPI
2022-05-11,CPI
2022-06-10,CPI
2022-07-13,CPI
2022-08-10,CPI
2022-09-13,CPI
2022-10-13,CPI
2022-11-10,CPI
2022-12-13,CPI
2023-01-12,CPI
2023-02-14,CPI
2023-03-14,CPI
2023-04-12,CPI
2023-05-10,CPI
2023-06-13,CPI
2023-07-12,CPI
2023-08-10,CPI
2023-09-13,CPI
2023-10-12,CPI
2023-11-14,CPI
2023-12-12,CPI
2024-01-11,CPI
2024-02-13,CPI
2024-03-12,CPI
2024-04-10,CPI
2024-05-15,CPI
2024-06-12,CPI
2024-07-11,CPI
2024-08-14,CPI
2024-09-11,CPI
2024-10-10,CPI
2024-11-13,CPI
2024-12-11,CPI
2025-01-14,CPI
2025-02-11,CPI
2025-03-11,CPI
2025-04-15,CPI
