date,event_type,data,bin
2015-01-09,NFP,NFP for January 2015: Jobs added=204000,200-300K
2015-01-15,PPI,"PPI for January 2015: Index=192.00, YoY=-5.79%",<0%
2015-01-16,CPI,"CPI for January 2015: Index=234.75, YoY=-0.23%",<0%
2015-01-27,FOMC,FOMC for January 2015: Federal Funds Rate=0.11%,0-1%
2015-01-28,FOMC,FOMC for January 2015: Federal Funds Rate=0.11%,0-1%
2015-02-06,NFP,NFP for February 2015: Jobs added=259000,200-300K
2015-02-18,PPI,"PPI for February 2015: Index=191.10, YoY=-7.10%",<0%
2015-02-26,CPI,"CPI for February 2015: Index=235.34, YoY=-0.09%",<0%
2015-03-06,NFP,NFP for March 2015: Jobs added=96000,0-100K
2015-03-13,PPI,"PPI for March 2015: Index=191.50, YoY=-7.49%",<0%
2015-03-17,FOMC,FOMC for March 2015: Federal Funds Rate=0.11%,0-1%
2015-03-18,FOMC,FOMC for March 2015: Federal Funds Rate=0.11%,0-1%
2015-03-24,CPI,"CPI for March 2015: Index=235.98, YoY=-0.02%",<0%
2015-04-03,NFP,NFP for April 2015: Jobs added=273000,200-300K
2015-04-14,PPI,"PPI for April 2015: Index=190.90, YoY=-8.35%",<0%
2015-04-17,CPI,"CPI for April 2015: Index=236.22, YoY=-0.10%",<0%
2015-04-28,FOMC,FOMC for April 2015: Federal Funds Rate=0.12%,0-1%
2015-04-29,FOMC,FOMC for April 2015: Federal Funds Rate=0.12%,0-1%
2015-05-08,NFP,NFP for May 2015: Jobs added=342000,>300K
2015-05-14,PPI,"PPI for May 2015: Index=193.40, YoY=-7.02%",<0%
2015-05-22,CPI,"CPI for May 2015: Index=237.00, YoY=0.04%",0-1%
2015-06-05,NFP,NFP for June 2015: Jobs added=171000,100-200K
2015-06-12,PPI,"PPI for June 2015: Index=194.80, YoY=-6.48%",<0%
2015-06-16,FOMC,FOMC for June 2015: Federal Funds Rate=0.13%,0-1%
2015-06-17,FOMC,FOMC for June 2015: Federal Funds Rate=0.13%,0-1%
2015-06-18,CPI,"CPI for June 2015: Index=237.66, YoY=0.18%",0-1%
2015-07-02,NFP,NFP for July 2015: Jobs added=282000,200-300K
2015-07-15,PPI,"PPI for July 2015: Index=193.90, YoY=-6.78%",<0%
2015-07-17,CPI,"CPI for July 2015: Index=238.03, YoY=0.23%",0-1%
2015-07-28,FOMC,FOMC for July 2015: Federal Funds Rate=0.13%,0-1%
2015-07-29,FOMC,FOMC for July 2015: Federal Funds Rate=0.13%,0-1%
2015-08-07,NFP,NFP for August 2015: Jobs added=134000,100-200K
2015-08-14,PPI,"PPI for August 2015: Index=191.90, YoY=-7.29%",<0%
2015-08-19,CPI,"CPI for August 2015: Index=238.03, YoY=0.24%",0-1%
2015-09-04,NFP,NFP for September 2015: Jobs added=150000,100-200K
2015-09-11,PPI,"PPI for September 2015: Index=189.10, YoY=-8.38%",<0%
2015-09-16,CPI,"CPI for September 2015: Index=237.50, YoY=0.01%",0-1%
2015-09-16,FOMC,FOMC for September 2015: Federal Funds Rate=0.14%,0-1%
2015-09-17,FOMC,FOMC for September 2015: Federal Funds Rate=0.14%,0-1%
2015-10-02,NFP,NFP for October 2015: Jobs added=304000,>300K
2015-10-14,PPI,"PPI for October 2015: Index=187.50, YoY=-7.82%",<0%
2015-10-15,CPI,"CPI for October 2015: Index=237.73, YoY=0.13%",0-1%
2015-10-27,FOMC,FOMC for October 2015: Federal Funds Rate=0.12%,0-1%
2015-10-28,FOMC,FOMC for October 2015: Federal Funds Rate=0.12%,0-1%
2015-11-06,NFP,NFP for November 2015: Jobs added=229000,200-300K
2015-11-13,PPI,"PPI for November 2015: Index=185.70, YoY=-7.57%",<0%
2015-11-17,CPI,"CPI for November 2015: Index=238.02, YoY=0.44%",0-1%
2015-12-04,NFP,NFP for December 2015: Jobs added=269000,200-300K
2015-12-11,PPI,"PPI for December 2015: Index=183.50, YoY=-6.85%",<0%
2015-12-15,FOMC,FOMC for December 2015: Federal Funds Rate=0.24%,0-1%
2015-12-15,CPI,"CPI for December 2015: Index=237.76, YoY=0.64%",0-1%
2015-12-16,FOMC,FOMC for December 2015: Federal Funds Rate=0.24%,0-1%
2016-01-08,NFP,NFP for January 2016: Jobs added=133000,100-200K
2016-01-15,PPI,"PPI for January 2016: Index=182.60, YoY=-4.90%",<0%
2016-01-20,CPI,"CPI for January 2016: Index=237.65, YoY=1.24%",1-2%
2016-01-26,FOMC,FOMC for January 2016: Federal Funds Rate=0.34%,0-1%
2016-01-27,FOMC,FOMC for January 2016: Federal Funds Rate=0.34%,0-1%
2016-02-05,NFP,NFP for February 2016: Jobs added=197000,100-200K
2016-02-17,PPI,"PPI for February 2016: Index=181.30, YoY=-5.13%",<0%
2016-02-19,CPI,"CPI for February 2016: Index=237.34, YoY=0.85%",0-1%
2016-03-04,NFP,NFP for March 2016: Jobs added=255000,200-300K
2016-03-15,FOMC,FOMC for March 2016: Federal Funds Rate=0.36%,0-1%
2016-03-15,PPI,"PPI for March 2016: Index=182.10, YoY=-4.91%",<0%
2016-03-16,FOMC,FOMC for March 2016: Federal Funds Rate=0.36%,0-1%
2016-03-16,CPI,"CPI for March 2016: Index=238.08, YoY=0.89%",0-1%
2016-04-01,NFP,NFP for April 2016: Jobs added=193000,100-200K
2016-04-13,PPI,"PPI for April 2016: Index=183.20, YoY=-4.03%",<0%
2016-04-14,CPI,"CPI for April 2016: Index=238.99, YoY=1.17%",1-2%
2016-04-26,FOMC,FOMC for April 2016: Federal Funds Rate=0.37%,0-1%
2016-04-27,FOMC,FOMC for April 2016: Federal Funds Rate=0.37%,0-1%
2016-05-06,NFP,NFP for May 2016: Jobs added=45000,0-100K
2016-05-13,PPI,"PPI for May 2016: Index=185.30, YoY=-4.19%",<0%
2016-05-17,CPI,"CPI for May 2016: Index=239.56, YoY=1.08%",1-2%
2016-06-03,NFP,NFP for June 2016: Jobs added=246000,200-300K
2016-06-14,FOMC,FOMC for June 2016: Federal Funds Rate=0.38%,0-1%
2016-06-15,PPI,"PPI for June 2016: Index=187.60, YoY=-3.70%",<0%
2016-06-15,FOMC,FOMC for June 2016: Federal Funds Rate=0.38%,0-1%
2016-06-16,CPI,"CPI for June 2016: Index=240.22, YoY=1.08%",1-2%
2016-07-08,NFP,NFP for July 2016: Jobs added=374000,>300K
2016-07-14,PPI,"PPI for July 2016: Index=187.70, YoY=-3.20%",<0%
2016-07-15,CPI,"CPI for July 2016: Index=240.10, YoY=0.87%",0-1%
2016-07-26,FOMC,FOMC for July 2016: Federal Funds Rate=0.39%,0-1%
2016-07-27,FOMC,FOMC for July 2016: Federal Funds Rate=0.39%,0-1%
2016-08-05,NFP,NFP for August 2016: Jobs added=142000,100-200K
2016-08-12,PPI,"PPI for August 2016: Index=186.60, YoY=-2.76%",<0%
2016-08-16,CPI,"CPI for August 2016: Index=240.54, YoY=1.06%",1-2%
2016-09-02,NFP,NFP for September 2016: Jobs added=305000,>300K
2016-09-15,PPI,"PPI for September 2016: Index=186.90, YoY=-1.16%",<0%
2016-09-16,CPI,"CPI for September 2016: Index=241.18, YoY=1.55%",1-2%
2016-09-20,FOMC,FOMC for September 2016: Federal Funds Rate=0.40%,0-1%
2016-09-21,FOMC,FOMC for September 2016: Federal Funds Rate=0.40%,0-1%
2016-10-07,NFP,NFP for October 2016: Jobs added=99000,0-100K
2016-10-14,PPI,"PPI for October 2016: Index=186.70, YoY=-0.43%",<0%
2016-10-18,CPI,"CPI for October 2016: Index=241.74, YoY=1.69%",1-2%
2016-11-01,FOMC,FOMC for November 2016: Federal Funds Rate=0.41%,0-1%
2016-11-02,FOMC,FOMC for November 2016: Federal Funds Rate=0.41%,0-1%
2016-11-04,NFP,NFP for November 2016: Jobs added=117000,100-200K
2016-11-16,PPI,"PPI for November 2016: Index=186.30, YoY=0.32%",0-2%
2016-11-17,CPI,"CPI for November 2016: Index=242.03, YoY=1.68%",1-2%
2016-12-02,NFP,NFP for December 2016: Jobs added=225000,200-300K
2016-12-13,FOMC,FOMC for December 2016: Federal Funds Rate=0.54%,0-1%
2016-12-14,PPI,"PPI for December 2016: Index=188.20, YoY=2.56%",2-4%
2016-12-14,FOMC,FOMC for December 2016: Federal Funds Rate=0.54%,0-1%
2016-12-15,CPI,"CPI for December 2016: Index=242.64, YoY=2.05%",2-3%
2017-01-06,NFP,NFP for January 2017: Jobs added=220000,200-300K
2017-01-13,PPI,"PPI for January 2017: Index=190.70, YoY=4.44%",4-8%
2017-01-18,CPI,"CPI for January 2017: Index=243.62, YoY=2.51%",2-3%
2017-01-31,FOMC,FOMC for January 2017: Federal Funds Rate=0.65%,0-1%
2017-02-01,FOMC,FOMC for February 2017: Federal Funds Rate=0.66%,0-1%
2017-02-03,NFP,NFP for February 2017: Jobs added=220000,200-300K
2017-02-14,PPI,"PPI for February 2017: Index=191.60, YoY=5.68%",4-8%
2017-02-15,CPI,"CPI for February 2017: Index=244.01, YoY=2.81%",2-3%
2017-03-10,NFP,NFP for March 2017: Jobs added=121000,100-200K
