date,event_type
2015-01-09,NFP
2015-02-06,NFP
2015-03-06,NFP
2015-04-03,NFP
2015-05-08,NFP
2015-06-05,NFP
2015-07-02,NFP
2015-08-07,NFP
2015-09-04,NFP
2015-10-02,NFP
2015-11-06,NFP
2015-12-04,NFP
2016-01-08,NFP
2016-02-05,NFP
2016-03-04,NFP
2016-04-01,NFP
2016-05-06,NFP
2016-06-03,NFP
2016-07-08,NFP
2016-08-05,NFP
2016-09-02,NFP
2016-10-07,NFP
2016-11-04,NFP
2016-12-02,NFP
2017-01-06,NFP
2017-02-03,NFP
2017-03-10,NFP
2017-04-07,NFP
2017-05-05,NFP
2017-06-02,NFP
2017-07-07,NFP
2017-08-04,NFP
2017-09-01,NFP
2017-10-06,NFP
2017-11-03,NFP
2017-12-08,NFP
2018-01-05,NFP
2018-02-02,NFP
2018-03-09,NFP
2018-04-06,NFP
2018-05-04,NFP
2018-06-01,NFP
2018-07-06,NFP
2018-08-03,NFP
2018-09-07,NFP
2018-10-05,NFP
2018-11-02,NFP
2018-12-07,NFP
2019-01-04,NFP
2019-02-01,NFP
2019-03-08,NFP
2019-04-05,NFP
2019-05-03,NFP
2019-06-07,NFP
2019-07-05,NFP
2019-08-02,NFP
2019-09-06,NFP
2019-10-04,NFP
2019-11-01,NFP
2019-12-06,NFP
2020-01-10,NFP
2020-02-07,NFP
2020-03-06,NFP
2020-04-03,NFP
2020-05-08,NFP
2020-06-05,NFP
2020-07-02,NFP
2020-08-07,NFP
2020-09-04,NFP
2020-10-02,NFP
2020-11-06,NFP
2020-12-04,NFP
2021-01-08,NFP
2021-02-05,NFP
2021-03-05,NFP
2021-04-02,NFP
2021-05-07,NFP
2021-06-04,NFP
2021-07-02,NFP
2021-08-06,NFP
2021-09-03,NFP
2021-10-08,NFP
2021-11-05,NFP
2021-12-03,NFP
2022-01-07,NFP
2022-02-04,NFP
2022-03-04,NFP
2022-04-01,NFP
2022-05-06,NFP
2022-06-03,NFP
2022-07-08,NFP
2022-08-05,NFP
2022-09-02,NFP
2022-10-07,NFP
2022-11-04,NFP
2022-12-02,NFP
2023-01-06,NFP
2023-02-03,NFP
2023-03-10,NFP
2023-04-07,NFP
2023-05-05,NFP
2023-06-02,NFP
2023-07-07,NFP
2023-08-04,NFP
2023-09-01,NFP
2023-10-06,NFP
2023-11-03,NFP
2023-12-08,NFP
2024-01-05,NFP
2024-02-02,NFP
2024-03-08,NFP
2024-04-05,NFP
2024-05-03,NFP
2024-06-07,NFP
2024-07-05,NFP
2024-08-02,NFP
2024-09-06,NFP
2024-10-04,NFP
2024-11-01,NFP
2024-12-06,NFP
2025-01-10,NFP
2025-02-07,NFP
2025-03-07,NFP
2025-04-04,NFP
