date,timestamp,touch_type,touch_price,close_at_touch,continuation_move_pct,reversal_move_pct,open_position,day_of_week,continuation_move_pct_60min,reversal_move_pct_60min
2015-01-05,2015-01-05 09:33:00,Previous Low,102.44,102.45,-0.2148,0.1171,Between Previous High and Low,Monday,-0.5369,0.166
2015-01-06,2015-01-06 10:06:00,Previous Low,101.14,101.141,0.0089,0.4845,Between Previous High and Low,Tuesday,-0.4054,0.5932
2015-01-09,2015-01-09 09:30:00,Previous High,103.5,103.49,-0.3576,0.029,Above Previous High,Friday,-0.7246,0.1449
2015-01-12,2015-01-12 09:41:00,Previous Low,102.02,102.0101,-0.2647,0.2009,Between Previous High and Low,Monday,-0.6861,0.2009
2015-01-13,2015-01-13 09:33:00,Previous High,102.93,102.945,0.408,-0.0097,Between Previous High and Low,Tuesday,0.6024,-0.0097
2015-01-13,2015-01-13 13:53:00,Previous Low,101.285,101.25,-0.1135,0.2123,Between Previous High and Low,Tuesday,-0.5776,0.311
2015-01-14,2015-01-14 09:32:00,Previous Low,100.7,100.79,0.3575,0.0199,Below Previous Low,Wednesday,0.7775,0.0199
2015-01-15,2015-01-15 09:31:00,Previous High,101.4829,101.48,0.1055,-0.87,Between Previous High and Low,Thursday,0.1055,-1.4514
2015-01-15,2015-01-15 10:00:00,Previous Low,100.07,100.05,-0.06,0.3697,Between Previous High and Low,Thursday,-0.06,1.0293
2015-01-16,2015-01-16 09:30:00,Previous Low,99.525,99.53,0.638,-0.0914,Below Previous Low,Friday,0.6581,-0.1658
2015-01-20,2015-01-20 09:48:00,Previous High,100.95,100.92,-0.3368,-0.0198,Above Previous High,Tuesday,-0.4458,0.1882
2015-01-21,2015-01-21 09:40:00,Previous High,101.88,101.98,0.1472,-0.53,Between Previous High and Low,Wednesday,0.1472,-0.53
2015-01-22,2015-01-22 09:30:00,Previous High,102.619,102.71,0.3128,-0.6617,Between Previous High and Low,Thursday,0.3128,-0.954
2015-01-23,2015-01-23 09:46:00,Previous High,104.14,104.09,0.0192,-0.2017,Between Previous High and Low,Friday,0.1632,-0.3745
2015-01-26,2015-01-26 09:40:00,Previous Low,103.72,103.76,-0.1061,0.1446,Between Previous High and Low,Monday,-0.1061,0.2796
2015-01-28,2015-01-28 10:33:00,Previous High,102.56,102.525,-0.3315,-0.0195,Above Previous High,Wednesday,-0.7898,-0.0195
2015-01-29,2015-01-29 09:30:00,Previous Low,100.8,100.8,-0.4464,0.1885,Between Previous High and Low,Thursday,-0.8333,0.1885
2015-01-30,2015-01-30 09:32:00,Previous High,102.0779,102.079,0.3645,-0.0028,Between Previous High and Low,Friday,0.4919,-0.5423
2015-02-02,2015-02-02 09:39:00,Previous Low,100.96,101.02,-0.3962,0.0495,Between Previous High and Low,Monday,-1.1985,0.0495
2015-02-03,2015-02-03 10:44:00,Previous High,102.07,102.08,-0.1666,0.0558,Above Previous High,Tuesday,-0.2449,0.147
2015-02-04,2015-02-04 11:14:00,Previous High,103.04,103.08,0.1165,-0.0615,Between Previous High and Low,Wednesday,0.2426,-0.0615
2015-02-05,2015-02-05 10:40:00,Previous High,103.55,103.52,0.0193,-0.0869,Between Previous High and Low,Thursday,0.0193,-0.2028
2015-02-06,2015-02-06 09:30:00,Previous High,103.83,103.83,-0.2119,0.0385,Above Previous High,Friday,-0.3949,0.0867
2015-02-09,2015-02-09 09:30:00,Previous Low,102.76,102.79,0.253,-0.0195,Below Previous Low,Monday,0.3601,-0.0584
2015-02-10,2015-02-10 09:33:00,Previous High,103.285,103.32,-0.0436,0.2469,Above Previous High,Tuesday,-0.0436,0.334
2015-02-11,2015-02-11 09:30:00,Previous High,104.54,104.48,0.1244,-0.1244,Between Previous High and Low,Wednesday,0.2487,-0.1244
2015-02-17,2015-02-17 09:31:00,Previous High,106.93,106.89,0.0187,-0.2431,Between Previous High and Low,Tuesday,0.0374,-0.2682
2015-02-18,2015-02-18 14:07:00,Previous High,107.08,107.0651,0.028,-0.084,Between Previous High and Low,Wednesday,0.0791,-0.2802
2015-02-19,2015-02-19 09:39:00,Previous High,107.2199,107.22,0.084,-0.0279,Between Previous High and Low,Thursday,0.3825,-0.0279
2015-02-20,2015-02-20 10:39:00,Previous High,107.76,107.79,0.1114,-0.0371,Between Previous High and Low,Friday,0.1114,-0.0464
